spec,n,r2,adj_r2,aic,catchment_coef,catchment_se,catchment_t,catchment_p,residential_coef,residential_se,city,country,entropy_type,geo_catch_coef,geo_catch_se,centrality_coef,centrality_se,density_coef,density_se
+ Geo Catchment,7637,0.017929966824442922,0.01690000349651888,-36586.53059262093,0.10099205205051476,0.06322363715181085,1.5973780788349052,0.11022287668990037,0.026730148635238038,0.007163247767997321,Sweden - Göteborg,Sweden,income,0.14059287850113833,0.017350497716467156,,,,
+ Geo + Centrality,7637,0.01809721155852473,0.01693854824451224,-36585.83127053584,0.08464308016482391,0.06482918445411218,1.3056323456411292,0.19171699567260791,0.02710740060365424,0.007170750312040572,Sweden - Göteborg,Sweden,income,0.1380198975039093,0.01749640073882313,-5.585713323541519e-05,4.900718869161407e-05,,
Full,7637,0.01811511860638182,0.016827569588031888,-36583.970548449215,0.07959389639108849,0.06623145718136746,1.201753664774874,0.22949630019158487,0.027464031961073943,0.007234635759585665,Sweden - Göteborg,Sweden,income,0.13861111791902658,0.017569059859277435,-5.132418441844422e-05,5.049472052457293e-05,2.7320930425650536e-07,7.325974019773764e-07
Base,5554,0.00814338323138386,0.0068914906389965225,-26822.281780479636,0.07463233764519828,0.05158515062059769,1.4467794849356894,0.14801520916162944,0.0345425300935176,0.005773227239493823,Sweden - Malmö,Sweden,income,,,,,,
+ Geo Catchment,5554,0.013253949675118393,0.011830330486191531,-26848.972886199772,-0.020711249372652674,0.05444562692492395,-0.38040244079128316,0.7036612738409695,0.019210699659652164,0.006430355835279634,Sweden - Malmö,Sweden,income,0.06812341134968847,0.012711997276335278,,,,
+ Geo + Centrality,5554,0.013690168143321912,0.012089015818879334,-26849.428728868756,0.006180676010899333,0.05708316485818165,0.10827493581084205,0.9137815222775565,0.018542582676843722,0.006443655933432468,Sweden - Malmö,Sweden,income,0.07474376184359244,0.013395060831830138,0.0002919609766731668,0.00018645234678753893,,
Full,5554,0.013712656267133028,0.011933317743350158,-26847.55536297449,0.0029937632682504045,0.05778721594254835,0.05180667072154477,0.9586846070005697,0.018871281246106264,0.0065101549425831485,Sweden - Malmö,Sweden,income,0.0754196451853204,0.013530352479303955,0.0002261136621308779,0.0002628247665651207,-3.847581830085378e-07,1.0822822704885934e-06
Base,3229,0.01188627591759317,0.009738869500773295,-12957.958824228934,0.3028894367367343,0.11925045293129422,2.539943700769364,0.01113363529488877,0.03209680342030197,0.007097912453382327,Sweden - Uppsala,Sweden,income,,,,,,
+ Geo Catchment,3229,0.01212301524422077,0.00966866248706355,-12956.732543746863,0.261692521826717,0.12814479165708872,2.0421627632514134,0.04121669472684782,0.03046244544674437,0.007337948339595145,Sweden - Uppsala,Sweden,income,0.0247620546088001,0.028188695025394134,,,,
+ Geo + Centrality,3229,0.01432073142240653,0.011564871398424437,-12961.924057503535,0.3911924653425558,0.13684383113543266,2.858678115752236,0.004281451215519896,0.03084782440616607,0.007332331109776709,Sweden - Uppsala,Sweden,income,0.03553027987436508,0.0284470910645854,0.0008117405293823765,0.0003029972944639302,,
